# internal.gains.scalar = exogenous scalar * degree.days / exogenous degree day norm
region,gcam.consumer,nodeInput,building.node.input,thermal.building.service.input,internal.gains.scalar
DC,resid_d2,resid,resid_building,resid heating modern_d2,-767
DC,resid_d3,resid,resid_building,resid heating modern_d3,-767
DC,resid_d4,resid,resid_building,resid heating modern_d4,-767
DC,resid_d5,resid,resid_building,resid heating modern_d5,-767
DC,resid_d6,resid,resid_building,resid heating modern_d6,-767
DC,resid_d7,resid,resid_building,resid heating modern_d7,-767
DC,resid_d8,resid,resid_building,resid heating modern_d8,-767
DC,resid_d9,resid,resid_building,resid heating modern_d9,-767
DC,resid_d10,resid,resid_building,resid heating modern_d10,-767
DC,resid_d1,resid,resid_building,resid heating TradBio_d1,-767
DC,resid_d2,resid,resid_building,resid heating TradBio_d2,-767
DC,resid_d3,resid,resid_building,resid heating TradBio_d3,-767
DC,resid_d4,resid,resid_building,resid heating TradBio_d4,-767
DC,resid_d5,resid,resid_building,resid heating TradBio_d5,-767
DC,resid_d6,resid,resid_building,resid heating TradBio_d6,-767
DC,resid_d7,resid,resid_building,resid heating TradBio_d7,-767
DC,resid_d8,resid,resid_building,resid heating TradBio_d8,-767
DC,resid_d9,resid,resid_building,resid heating TradBio_d9,-767
DC,resid_d10,resid,resid_building,resid heating TradBio_d10,-767
DE,resid_d1,resid,resid_building,resid cooling modern_d1,319
DE,resid_d2,resid,resid_building,resid cooling modern_d2,319
DE,resid_d3,resid,resid_building,resid cooling modern_d3,319
DE,resid_d4,resid,resid_building,resid cooling modern_d4,319
DE,resid_d5,resid,resid_building,resid cooling modern_d5,319
DE,resid_d6,resid,resid_building,resid cooling modern_d6,319
DE,resid_d7,resid,resid_building,resid cooling modern_d7,319
DE,resid_d8,resid,resid_building,resid cooling modern_d8,319
DE,resid_d9,resid,resid_building,resid cooling modern_d9,319
DE,resid_d10,resid,resid_building,resid cooling modern_d10,319
DE,resid_d1,resid,resid_building,resid heating coal_d1,-825
DE,resid_d2,resid,resid_building,resid heating coal_d2,-825
DE,resid_d3,resid,resid_building,resid heating coal_d3,-825
DE,resid_d4,resid,resid_building,resid heating coal_d4,-825
DE,resid_d5,resid,resid_building,resid heating coal_d5,-825
DE,resid_d6,resid,resid_building,resid heating coal_d6,-825
DE,resid_d7,resid,resid_building,resid heating coal_d7,-825
DE,resid_d8,resid,resid_building,resid heating coal_d8,-825
DE,resid_d9,resid,resid_building,resid heating coal_d9,-825
DE,resid_d10,resid,resid_building,resid heating coal_d10,-825
DE,resid_d1,resid,resid_building,resid heating modern_d1,-825
DE,resid_d2,resid,resid_building,resid heating modern_d2,-825
DE,resid_d3,resid,resid_building,resid heating modern_d3,-825
DE,resid_d4,resid,resid_building,resid heating modern_d4,-825
DE,resid_d5,resid,resid_building,resid heating modern_d5,-825
DE,resid_d6,resid,resid_building,resid heating modern_d6,-825
DE,resid_d7,resid,resid_building,resid heating modern_d7,-825
DE,resid_d8,resid,resid_building,resid heating modern_d8,-825
DE,resid_d9,resid,resid_building,resid heating modern_d9,-825
DE,resid_d10,resid,resid_building,resid heating modern_d10,-825
DE,resid_d1,resid,resid_building,resid heating TradBio_d1,-825
DE,resid_d2,resid,resid_building,resid heating TradBio_d2,-825
DE,resid_d3,resid,resid_building,resid heating TradBio_d3,-825
DE,resid_d4,resid,resid_building,resid heating TradBio_d4,-825
DE,resid_d5,resid,resid_building,resid heating TradBio_d5,-825
DE,resid_d6,resid,resid_building,resid heating TradBio_d6,-825
DE,resid_d7,resid,resid_building,resid heating TradBio_d7,-825
DE,resid_d8,resid,resid_building,resid heating TradBio_d8,-825
DE,resid_d9,resid,resid_building,resid heating TradBio_d9,-825
DE,resid_d10,resid,resid_building,resid heating TradBio_d10,-825
FL,resid_d1,resid,resid_building,resid cooling modern_d1,986
FL,resid_d2,resid,resid_building,resid cooling modern_d2,986
FL,resid_d3,resid,resid_building,resid cooling modern_d3,986
FL,resid_d4,resid,resid_building,resid cooling modern_d4,986
FL,resid_d5,resid,resid_building,resid cooling modern_d5,986
FL,resid_d6,resid,resid_building,resid cooling modern_d6,986
FL,resid_d7,resid,resid_building,resid cooling modern_d7,986
FL,resid_d8,resid,resid_building,resid cooling modern_d8,986
FL,resid_d9,resid,resid_building,resid cooling modern_d9,986
FL,resid_d10,resid,resid_building,resid cooling modern_d10,986
FL,resid_d1,resid,resid_building,resid heating coal_d1,0
FL,resid_d2,resid,resid_building,resid heating coal_d2,0
FL,resid_d3,resid,resid_building,resid heating coal_d3,0
FL,resid_d4,resid,resid_building,resid heating coal_d4,0
FL,resid_d5,resid,resid_building,resid heating coal_d5,0
FL,resid_d6,resid,resid_building,resid heating coal_d6,0
FL,resid_d7,resid,resid_building,resid heating coal_d7,0
FL,resid_d8,resid,resid_building,resid heating coal_d8,0
FL,resid_d9,resid,resid_building,resid heating coal_d9,0
FL,resid_d10,resid,resid_building,resid heating coal_d10,0
FL,resid_d1,resid,resid_building,resid heating modern_d1,0
FL,resid_d2,resid,resid_building,resid heating modern_d2,0
FL,resid_d3,resid,resid_building,resid heating modern_d3,0
FL,resid_d4,resid,resid_building,resid heating modern_d4,0
FL,resid_d5,resid,resid_building,resid heating modern_d5,0
FL,resid_d6,resid,resid_building,resid heating modern_d6,0
FL,resid_d7,resid,resid_building,resid heating modern_d7,0
FL,resid_d8,resid,resid_building,resid heating modern_d8,0
FL,resid_d9,resid,resid_building,resid heating modern_d9,0
FL,resid_d10,resid,resid_building,resid heating modern_d10,0
FL,resid_d1,resid,resid_building,resid heating TradBio_d1,0
FL,resid_d2,resid,resid_building,resid heating TradBio_d2,0
FL,resid_d3,resid,resid_building,resid heating TradBio_d3,0
FL,resid_d4,resid,resid_building,resid heating TradBio_d4,0
FL,resid_d5,resid,resid_building,resid heating TradBio_d5,0
FL,resid_d6,resid,resid_building,resid heating TradBio_d6,0
FL,resid_d7,resid,resid_building,resid heating TradBio_d7,0
FL,resid_d8,resid,resid_building,resid heating TradBio_d8,0
FL,resid_d9,resid,resid_building,resid heating TradBio_d9,0
FL,resid_d10,resid,resid_building,resid heating TradBio_d10,0
GA,resid_d1,resid,resid_building,resid cooling modern_d1,592
GA,resid_d2,resid,resid_building,resid cooling modern_d2,592
GA,resid_d3,resid,resid_building,resid cooling modern_d3,592
GA,resid_d4,resid,resid_building,resid cooling modern_d4,592
GA,resid_d5,resid,resid_building,resid cooling modern_d5,592
GA,resid_d6,resid,resid_building,resid cooling modern_d6,592
GA,resid_d7,resid,resid_building,resid cooling modern_d7,592
GA,resid_d8,resid,resid_building,resid cooling modern_d8,592
GA,resid_d9,resid,resid_building,resid cooling modern_d9,592
GA,resid_d10,resid,resid_building,resid cooling modern_d10,592
GA,resid_d1,resid,resid_building,resid heating coal_d1,-497
GA,resid_d2,resid,resid_building,resid heating coal_d2,-497
GA,resid_d3,resid,resid_building,resid heating coal_d3,-497
GA,resid_d4,resid,resid_building,resid heating coal_d4,-497
GA,resid_d5,resid,resid_building,resid heating coal_d5,-497
GA,resid_d6,resid,resid_building,resid heating coal_d6,-497
GA,resid_d7,resid,resid_building,resid heating coal_d7,-497
GA,resid_d8,resid,resid_building,resid heating coal_d8,-497
GA,resid_d9,resid,resid_building,resid heating coal_d9,-497
GA,resid_d10,resid,resid_building,resid heating coal_d10,-497
GA,resid_d1,resid,resid_building,resid heating modern_d1,-497
GA,resid_d2,resid,resid_building,resid heating modern_d2,-497
GA,resid_d3,resid,resid_building,resid heating modern_d3,-497
GA,resid_d4,resid,resid_building,resid heating modern_d4,-497
GA,resid_d5,resid,resid_building,resid heating modern_d5,-497
GA,resid_d6,resid,resid_building,resid heating modern_d6,-497
GA,resid_d7,resid,resid_building,resid heating modern_d7,-497
GA,resid_d8,resid,resid_building,resid heating modern_d8,-497
GA,resid_d9,resid,resid_building,resid heating modern_d9,-497
GA,resid_d10,resid,resid_building,resid heating modern_d10,-497
GA,resid_d1,resid,resid_building,resid heating TradBio_d1,-497
GA,resid_d2,resid,resid_building,resid heating TradBio_d2,-497
GA,resid_d3,resid,resid_building,resid heating TradBio_d3,-497
GA,resid_d4,resid,resid_building,resid heating TradBio_d4,-497
GA,resid_d5,resid,resid_building,resid heating TradBio_d5,-497
GA,resid_d6,resid,resid_building,resid heating TradBio_d6,-497
GA,resid_d7,resid,resid_building,resid heating TradBio_d7,-497
GA,resid_d8,resid,resid_building,resid heating TradBio_d8,-497
GA,resid_d9,resid,resid_building,resid heating TradBio_d9,-497
GA,resid_d10,resid,resid_building,resid heating TradBio_d10,-497
HI,resid_d1,resid,resid_building,resid cooling modern_d1,94
HI,resid_d2,resid,resid_building,resid cooling modern_d2,94
HI,resid_d3,resid,resid_building,resid cooling modern_d3,94
HI,resid_d4,resid,resid_building,resid cooling modern_d4,94
