"","state","state_name","year","sce","shares","category"
"254","MS","Mississippi",2011,"Historical",0.07334923,"d4"
"255","MS","Mississippi",2011,"Historical",0.08332609,"d5"
"256","MS","Mississippi",2011,"Historical",0.09414351,"d6"
"257","MS","Mississippi",2011,"Historical",0.1068132,"d7"
"258","MS","Mississippi",2011,"Historical",0.1231182,"d8"
"259","MS","Mississippi",2011,"Historical",0.1477082,"d9"
"260","MS","Mississippi",2011,"Historical",0.2226263,"d10"
"261","MT","Montana",2011,"Historical",0.03473198,"d1"
"262","MT","Montana",2011,"Historical",0.05378679,"d2"
"263","MT","Montana",2011,"Historical",0.06537173,"d3"
"264","MT","Montana",2011,"Historical",0.07545081,"d4"
"265","MT","Montana",2011,"Historical",0.08534081,"d5"
"266","MT","Montana",2011,"Historical",0.09596525,"d6"
"267","MT","Montana",2011,"Historical",0.1082574,"d7"
"268","MT","Montana",2011,"Historical",0.1238429,"d8"
"269","MT","Montana",2011,"Historical",0.1468062,"d9"
"270","MT","Montana",2011,"Historical",0.2097677,"d10"
"271","NC","North Carolina",2011,"Historical",0.0320044,"d1"
"272","NC","North Carolina",2011,"Historical",0.05015401,"d2"
"273","NC","North Carolina",2011,"Historical",0.06148539,"d3"
"274","NC","North Carolina",2011,"Historical",0.07154942,"d4"
"275","NC","North Carolina",2011,"Historical",0.08160067,"d5"
"276","NC","North Carolina",2011,"Historical",0.09258337,"d6"
"277","NC","North Carolina",2011,"Historical",0.1055764,"d7"
"278","NC","North Carolina",2011,"Historical",0.1224976,"d8"
"279","NC","North Carolina",2011,"Historical",0.1484807,"d9"
"280","NC","North Carolina",2011,"Historical",0.2336385,"d10"
"281","ND","North Dakota",2011,"Historical",0.03256063,"d1"
"282","ND","North Dakota",2011,"Historical",0.05089483,"d2"
"283","ND","North Dakota",2011,"Historical",0.06227792,"d3"
"284","ND","North Dakota",2011,"Historical",0.07234503,"d4"
"285","ND","North Dakota",2011,"Historical",0.08236339,"d5"
"286","ND","North Dakota",2011,"Historical",0.09327303,"d6"
"287","ND","North Dakota",2011,"Historical",0.1061231,"d7"
"288","ND","North Dakota",2011,"Historical",0.1227719,"d8"
"289","ND","North Dakota",2011,"Historical",0.1481392,"d9"
"290","ND","North Dakota",2011,"Historical",0.2287706,"d10"
"291","NE","Nebraska",2011,"Historical",0.03301885,"d1"
"292","NE","Nebraska",2011,"Historical",0.05150512,"d2"
"293","NE","Nebraska",2011,"Historical",0.06293081,"d3"
"294","NE","Nebraska",2011,"Historical",0.07300044,"d4"
"295","NE","Nebraska",2011,"Historical",0.08299171,"d5"
"296","NE","Nebraska",2011,"Historical",0.09384117,"d6"
"297","NE","Nebraska",2011,"Historical",0.1065735,"d7"
"298","NE","Nebraska",2011,"Historical",0.1229979,"d8"
"299","NE","Nebraska",2011,"Historical",0.1478579,"d9"
"300","NE","Nebraska",2011,"Historical",0.2247604,"d10"
"301","NH","New Hampshire",2011,"Historical",0.03153204,"d1"
"302","NH","New Hampshire",2011,"Historical",0.04952489,"d2"
"303","NH","New Hampshire",2011,"Historical",0.06081236,"d3"
"304","NH","New Hampshire",2011,"Historical",0.07087379,"d4"
"305","NH","New Hampshire",2011,"Historical",0.08095296,"d5"
"306","NH","New Hampshire",2011,"Historical",0.0919977,"d6"
"307","NH","New Hampshire",2011,"Historical",0.1051121,"d7"
"308","NH","New Hampshire",2011,"Historical",0.1222646,"d8"
"309","NH","New Hampshire",2011,"Historical",0.1487706,"d9"
"310","NH","New Hampshire",2011,"Historical",0.2377724,"d10"
