Source: State of Alaska Geoportal - https://gis.data.alaska.gov/maps/e08c3faedf7842b382f415511402d9d1,,,,,,,,,,
X,Y,OBJECTID,CommunityName,EntityName,ReportingSeason,ReportingDate,ReportingPeriod,ReportingYear,HFRetailGal,AsOfDate
-141.2075806,64.78887939,122,Eagle,Telegraph Hill Services,Summer,2016/07/15 09:00:00+00,July,2016,4.25,2019/02/06 09:00:00+00
-152.3973999,57.79309082,123,Kodiak,Petro Marine,Summer,2016/07/15 09:00:00+00,July,2016,3,2019/02/06 09:00:00+00
-132.9577026,56.81109619,124,Petersburg,Petro Marine,Summer,2016/07/15 09:00:00+00,July,2016,2.82,2019/02/06 09:00:00+00
-162.8831177,61.93731689,125,Pilot Station,Pilot Station Native Corporation,Summer,2016/07/15 09:00:00+00,July,2016,7.32,2019/02/06 09:00:00+00
-133.6212158,56.35150146,126,Point Baker,Point Baker Trading Post,Summer,2016/07/15 09:00:00+00,July,2016,4.65,2019/02/06 09:00:00+00
-166.7341919,68.3480835,127,Point Hope,Tigara Corporation,Summer,2016/07/15 09:00:00+00,July,2016,1.74,2019/02/06 09:00:00+00
-161.9005127,59.75152588,128,Quinhagak,Qanirtuuq Corporation,Summer,2016/07/15 09:00:00+00,July,2016,5,2019/02/06 09:00:00+00
-161.3234863,61.78387451,129,Russian Mission,Russian Mission Corporation,Summer,2016/07/15 09:00:00+00,July,2016,4.62,2019/02/06 09:00:00+00
-162.039917,63.47827148,130,Saint Michael,Saint Michael Fuel Company,Summer,2016/07/15 09:00:00+00,July,2016,5.88,2019/02/06 09:00:00+00
-160.4981079,55.34088135,131,Sand Point,TDX Svcs,Summer,2016/07/15 09:00:00+00,July,2016,4.32,2019/02/06 09:00:00+00
-151.7185059,59.44067383,132,Seldovia,Seldovia Fuel and Lube,Summer,2016/07/15 09:00:00+00,July,2016,4.15,2019/02/06 09:00:00+00
-166.0706787,66.25512695,133,Shishmaref,Shishmaref Native Store,Summer,2016/07/15 09:00:00+00,July,2016,4.08,2019/02/06 09:00:00+00
-162.2915039,63.52392578,134,Stebbins,Tapraq Fuel Company,Summer,2016/07/15 09:00:00+00,July,2016,5.69,2019/02/06 09:00:00+00
-152.0776978,65.17132568,135,Tanana,Tanana Tribal Council,Summer,2016/07/15 09:00:00+00,July,2016,5.25,2019/02/06 09:00:00+00
