source: https://gis.data.alaska.gov/datasets/a8cb2e38a0ed497e9dc2ead8c27ee6d9_2/,,,
Place,e_Per_Capita_Income,Start_Year,End_Year
Mertarvik,,2008,2012
Metlakatla,21676,2008,2012
Minto,12383,2008,2012
Moose Creek,25505,2008,2012
Moose Pass,38343,2008,2012
Mosquito Lake,28012,2008,2012
Mountain Village,11623,2008,2012
Mud Bay,33447,2008,2012
Nabesna,,2008,2012
Naknek,34421,2008,2012
Nanwalek,9496,2008,2012
Napakiak,10827,2008,2012
Napaskiak,14889,2008,2012
Naukati Bay,51866,2008,2012
Nelchina,14716,2008,2012
Nelson Lagoon,19581,2008,2012
Nenana,27815,2008,2012
New Allakaket,13984,2008,2012
New Stuyahok,9384,2008,2012
Newhalen,15268,2008,2012
Newtok,9188,2008,2012
Nightmute,13037,2008,2012
Nikiski,30774,2008,2012
Nikolaevsk,14907,2008,2012
Nikolai,11996,2008,2012
Nikolski,18477,2008,2012
Ninilchik,25744,2008,2012
Noatak,14204,2008,2012
Nome,31695,2008,2012
Nondalton,10621,2008,2012
Noorvik,13021,2008,2012
North Pole,32128,2008,2012
Northway,30402,2008,2012
Northway Junction,15161,2008,2012
Northway Village,8556,2008,2012
Nuiqsut,26735,2008,2012
Nulato,15803,2008,2012
Nunam Iqua,15308,2008,2012
Nunapitchuk,12567,2008,2012
Old Harbor,25654,2008,2012
Oscarville,11014,2008,2012
Ouzinkie,22923,2008,2012
Palmer,25382,2008,2012
Paxson,38100,2008,2012
Pedro Bay,24835,2008,2012
Pelican,26286,2008,2012
Perryville,14003,2008,2012
Petersburg,32874,2008,2012
Petersville,,2008,2012
Pilot Point,19067,2008,2012
Pilot Station,10532,2008,2012
Pitkas Point,12146,2008,2012
Platinum,9700,2008,2012
Pleasant Valley,33865,2008,2012
Point Baker,,2008,2012
Point Hope,23963,2008,2012
Point Lay,21192,2008,2012
Point MacKenzie,18415,2008,2012
Point Possession,61497,2008,2012
Pope-Vannoy Landing,,2008,2012
Port Alexander,15662,2008,2012
Port Alsworth,24636,2008,2012
Port Clarence,42819,2008,2012
Port Graham,14009,2008,2012
Port Heiden,23644,2008,2012
Port Lions,28111,2008,2012
Port Protection,25838,2008,2012
Portage Creek,,2008,2012
Primrose,83373,2008,2012
Prudhoe Bay,91932,2008,2012
Quinhagak,10576,2008,2012
Rampart,27200,2008,2012
Red Devil,53615,2008,2012
Red Dog Mine,91568,2008,2012
Ridgeway,36385,2008,2012
Ruby,12659,2008,2012
Russian Mission,9971,2008,2012
Salamatof,23382,2008,2012
Salcha,33008,2008,2012
Sand Point,25683,2008,2012
Savoonga,7321,2008,2012
Saxman,20757,2008,2012
Scammon Bay,7644,2008,2012
