source: https://gis.data.alaska.gov/datasets/fa3ad93528b24f7c9ba298a68c04920d_0/explore,,,
Place,e_Pop_Total,Start_Year,End_Year
Pilot Point,61,2008,2012
Pilot Station,510,2008,2012
Pitkas Point,160,2008,2012
Platinum,53,2008,2012
Pleasant Valley,389,2008,2012
Point Baker,16,2008,2012
Point Hope,894,2008,2012
Point Lay,301,2008,2012
Point MacKenzie,407,2008,2012
Point Possession,35,2008,2012
Pope-Vannoy Landing,9,2008,2012
Port Alexander,29,2008,2012
Port Alsworth,158,2008,2012
Port Clarence,43,2008,2012
Port Graham,140,2008,2012
Port Heiden,70,2008,2012
Port Lions,259,2008,2012
Port Protection,42,2008,2012
Portage Creek,0,2008,2012
Primrose,30,2008,2012
Prudhoe Bay,1563,2008,2012
Quinhagak,635,2008,2012
Rampart,20,2008,2012
Red Devil,27,2008,2012
Red Dog Mine,345,2008,2012
Ridgeway,2361,2008,2012
Ruby,224,2008,2012
Russian Mission,402,2008,2012
Salamatof,994,2008,2012
Salcha,933,2008,2012
Sand Point,1190,2008,2012
Savoonga,726,2008,2012
Saxman,394,2008,2012
Scammon Bay,527,2008,2012
Selawik,688,2008,2012
Seldovia Village,138,2008,2012
Seldovia,286,2008,2012
Seward,2692,2008,2012
Shageluk,64,2008,2012
Shaktoolik,233,2008,2012
Shishmaref,633,2008,2012
Shungnak,368,2008,2012
Silver Springs,121,2008,2012
Sitka,8909,2008,2012
Skagway,1004,2008,2012
Skwentna,4,2008,2012
Slana,174,2008,2012
Sleetmute,79,2008,2012
Soldotna,4209,2008,2012
South Naknek,57,2008,2012
South Van Horn,564,2008,2012
Saint George,88,2008,2012
Saint Mary's,544,2008,2012
Saint Michael,393,2008,2012
Saint Paul,643,2008,2012
Stebbins,576,2008,2012
Steele Creek,6173,2008,2012
Sterling,5419,2008,2012
Stevens Village,61,2008,2012
Stony River,40,2008,2012
Sunrise,7,2008,2012
Susitna,23,2008,2012
Susitna North,1500,2008,2012
Sutton-Alpine,1296,2008,2012
Takotna,46,2008,2012
Talkeetna,521,2008,2012
Tanacross,151,2008,2012
Tanaina,9393,2008,2012
Tanana,252,2008,2012
Tatitlek,47,2008,2012
Tazlina,299,2008,2012
Teller,231,2008,2012
Tenakee Springs,138,2008,2012
Tetlin,108,2008,2012
Thorne Bay,511,2008,2012
Togiak,951,2008,2012
Tok,1292,2008,2012
Toksook Bay,650,2008,2012
Tolsona,0,2008,2012
Tonsina,71,2008,2012
Trapper Creek,479,2008,2012
Tuluksak,433,2008,2012
Tuntutuliak,409,2008,2012
Tununak,312,2008,2012
